Reference time: 04/16/19 06:14:52 UTC,,,,,,,,,,,,,,,,,,,,,,,,,
CentisecTime: 155539529240,,,,,,,,,,,,,,,,,,,,,,,,,
DeviceID: 71, DeviceFamily: S6, OFVersion: 2.1.0.999, FirmwareVersion: 1.01,,,,,,,,,,,,,,,,,,,,,,
Acceleration.forward,Acceleration.side,Acceleration.up,Rotation.roll,Rotation.pitch,Rotation.yaw,RawPlayerLoad,SmoothedPlayerLoad,imuAcceleration.forward,imuAcceleration.side,imuAcceleration.up,imuOrientation.forward,imuOrientation.side,imuOrientation.up,Facing,Latitude,Longitude,Odometer,RawVelocity,SmoothedVelocity,GNSS.LPS.Acceleration,MetabolicPower,GNSS.Fix,GNSS.Strength,GNSS.HDOP,HeartRate
-0.817476,-0.644688,0.46464,28.731,-111.325,-5.368,0.184082,1.61891,0.435504,-1.00178,-0.673572,0.853277,0.243178,-0.461285,57.6606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.89782,-0.540628,0.315084,57.096,-135.847,-1.769,0.188965,1.62599,0.395263,-0.875227,-0.47523,0.872509,0.225771,-0.433308,59.7932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.07545,-0.403656,0.16214,75.579,-157.868,-0.183,0.226074,1.63312,0.372971,-0.744018,-0.191826,0.89084,0.209337,-0.403215,62.4206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.34939,-0.259424,-0.067276,91.805,-175.07,-3.538,0.308105,1.64025,0.288118,-0.607509,0.200253,0.908053,0.193025,-0.371727,64.1237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.83484,-0.013068,-0.34122,110.715,-185.379,-10.736,0.464355,1.64732,0.218969,-0.408478,0.807887,0.923212,0.177741,-0.340717,66.3435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-2.45533,0.121484,-0.775368,131.699,-183.183,-10.065,0.620605,1.65427,-0.0184544,-0.303815,1.55968,0.934783,0.163144,-0.31554,78.4913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-3.20069,0.192148,-1.06674,134.932,-182.939,-5.856,0.709961,1.66109,-0.140263,-0.288654,2.36397,0.9453,0.148509,-0.290435,89.6018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-4.16772,0.15972,-1.17999,90.768,-215.818,4.331,0.833496,1.66774,-0.129997,-0.416271,3.3125,0.956473,0.136443,-0.25796,99.2081,-37.8508838,144.9884857,363.692,0.3815,0.187049,-0.649971,0,12,0,0.86,0
-5.4421,0.219252,-1.51928,-3.233,-274.256,-9.699,1.09131,1.67422,-0.386567,-0.423037,4.62533,0.96932,0.123149,-0.212728,98.4413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-6.32733,0.424952,-2.11556,-53.985,-308.172,-75.152,1.07031,1.68054,-0.995955,-0.145365,5.60895,0.979005,0.104728,-0.174875,98.4534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
